 INFO [2021-07-20 16:17:29,513] ({RegisterThread} RemoteInterpreterServer.java[run]:595) - Start registration
 INFO [2021-07-20 16:17:29,514] ({RemoteInterpreterServer-Thread} RemoteInterpreterServer.java[run]:193) - Launching ThriftServer at 172.18.0.2:45899
 INFO [2021-07-20 16:17:30,815] ({RegisterThread} RemoteInterpreterServer.java[run]:609) - Registering interpreter process
 INFO [2021-07-20 16:17:30,843] ({RegisterThread} RemoteInterpreterServer.java[run]:611) - Registered interpreter process
 INFO [2021-07-20 16:17:30,844] ({RegisterThread} RemoteInterpreterServer.java[run]:632) - Registration finished
 INFO [2021-07-20 16:17:30,878] ({pool-2-thread-1} ZeppelinConfiguration.java[create]:172) - Load configuration from file:/opt/zeppelin/conf/zeppelin-site.xml
 INFO [2021-07-20 16:17:31,001] ({pool-2-thread-1} ZeppelinConfiguration.java[create]:180) - Server Host: 0.0.0.0
 INFO [2021-07-20 16:17:31,002] ({pool-2-thread-1} ZeppelinConfiguration.java[create]:182) - Server Port: 8080
 INFO [2021-07-20 16:17:31,005] ({pool-2-thread-1} ZeppelinConfiguration.java[create]:186) - Context Path: /
 INFO [2021-07-20 16:17:31,006] ({pool-2-thread-1} ZeppelinConfiguration.java[create]:187) - Zeppelin Version: 0.9.0
 INFO [2021-07-20 16:17:31,007] ({pool-2-thread-1} RemoteInterpreterServer.java[createLifecycleManager]:286) - Creating interpreter lifecycle manager: org.apache.zeppelin.interpreter.lifecycle.NullLifecycleManager
 INFO [2021-07-20 16:17:31,008] ({pool-2-thread-1} RemoteInterpreterServer.java[init]:229) - Creating RemoteInterpreterEventClient with connection pool size: 10
 INFO [2021-07-20 16:17:31,212] ({pool-2-thread-1} RemoteInterpreterServer.java[createInterpreter]:383) - Instantiate interpreter org.apache.zeppelin.angular.AngularInterpreter
 INFO [2021-07-20 16:17:31,227] ({pool-2-thread-1} RemoteInterpreterServer.java[createInterpreter]:383) - Instantiate interpreter org.apache.zeppelin.angular.AngularInterpreter
 INFO [2021-07-20 16:17:31,275] ({pool-2-thread-2} SchedulerFactory.java[<init>]:56) - Scheduler Thread Pool Size: 100
 INFO [2021-07-20 16:17:31,278] ({pool-2-thread-2} SchedulerFactory.java[createOrGetFIFOScheduler]:76) - Create FIFOScheduler: org.apache.zeppelin.angular.AngularInterpreter203080642
 INFO [2021-07-20 16:17:31,286] ({pool-2-thread-2} SchedulerFactory.java[createOrGetFIFOScheduler]:76) - Create FIFOScheduler: org.apache.zeppelin.angular.AngularInterpreter649431362
 INFO [2021-07-20 16:17:31,328] ({FIFOScheduler-org.apache.zeppelin.angular.AngularInterpreter203080642-Worker-1} AbstractScheduler.java[runJob]:127) - Job paragraph_1626714841012_497200091 started by scheduler org.apache.zeppelin.angular.AngularInterpreter203080642
 INFO [2021-07-20 16:17:31,356] ({FIFOScheduler-org.apache.zeppelin.angular.AngularInterpreter203080642-Worker-1} AbstractScheduler.java[runJob]:154) - Job paragraph_1626714841012_497200091 finished by scheduler org.apache.zeppelin.angular.AngularInterpreter203080642 with status FINISHED
 INFO [2021-07-20 16:17:45,108] ({FIFOScheduler-org.apache.zeppelin.angular.AngularInterpreter203080642-Worker-1} AbstractScheduler.java[runJob]:127) - Job paragraph_1626714841012_497200091 started by scheduler org.apache.zeppelin.angular.AngularInterpreter203080642
 INFO [2021-07-20 16:17:45,113] ({FIFOScheduler-org.apache.zeppelin.angular.AngularInterpreter203080642-Worker-1} AbstractScheduler.java[runJob]:154) - Job paragraph_1626714841012_497200091 finished by scheduler org.apache.zeppelin.angular.AngularInterpreter203080642 with status FINISHED
 INFO [2021-07-20 16:17:50,230] ({FIFOScheduler-org.apache.zeppelin.angular.AngularInterpreter203080642-Worker-1} AbstractScheduler.java[runJob]:127) - Job paragraph_1626714841012_497200091 started by scheduler org.apache.zeppelin.angular.AngularInterpreter203080642
 INFO [2021-07-20 16:17:50,234] ({FIFOScheduler-org.apache.zeppelin.angular.AngularInterpreter203080642-Worker-1} AbstractScheduler.java[runJob]:154) - Job paragraph_1626714841012_497200091 finished by scheduler org.apache.zeppelin.angular.AngularInterpreter203080642 with status FINISHED
 INFO [2021-07-20 16:17:52,713] ({FIFOScheduler-org.apache.zeppelin.angular.AngularInterpreter203080642-Worker-1} AbstractScheduler.java[runJob]:127) - Job paragraph_1626714841012_497200091 started by scheduler org.apache.zeppelin.angular.AngularInterpreter203080642
 INFO [2021-07-20 16:17:52,721] ({FIFOScheduler-org.apache.zeppelin.angular.AngularInterpreter203080642-Worker-1} AbstractScheduler.java[runJob]:154) - Job paragraph_1626714841012_497200091 finished by scheduler org.apache.zeppelin.angular.AngularInterpreter203080642 with status FINISHED
