 INFO [2021-07-19 17:50:34,585] ({RegisterThread} RemoteInterpreterServer.java[run]:595) - Start registration
 INFO [2021-07-19 17:50:34,586] ({RemoteInterpreterServer-Thread} RemoteInterpreterServer.java[run]:193) - Launching ThriftServer at 172.18.0.3:41241
 INFO [2021-07-19 17:50:35,729] ({RegisterThread} RemoteInterpreterServer.java[run]:609) - Registering interpreter process
 INFO [2021-07-19 17:50:35,746] ({RegisterThread} RemoteInterpreterServer.java[run]:611) - Registered interpreter process
 INFO [2021-07-19 17:50:35,747] ({RegisterThread} RemoteInterpreterServer.java[run]:632) - Registration finished
 INFO [2021-07-19 17:50:35,762] ({pool-2-thread-1} ZeppelinConfiguration.java[create]:172) - Load configuration from file:/opt/zeppelin/conf/zeppelin-site.xml
 INFO [2021-07-19 17:50:35,824] ({pool-2-thread-1} ZeppelinConfiguration.java[create]:180) - Server Host: 0.0.0.0
 INFO [2021-07-19 17:50:35,825] ({pool-2-thread-1} ZeppelinConfiguration.java[create]:182) - Server Port: 8080
 INFO [2021-07-19 17:50:35,826] ({pool-2-thread-1} ZeppelinConfiguration.java[create]:186) - Context Path: /
 INFO [2021-07-19 17:50:35,826] ({pool-2-thread-1} ZeppelinConfiguration.java[create]:187) - Zeppelin Version: 0.9.0
 INFO [2021-07-19 17:50:35,827] ({pool-2-thread-1} RemoteInterpreterServer.java[createLifecycleManager]:286) - Creating interpreter lifecycle manager: org.apache.zeppelin.interpreter.lifecycle.NullLifecycleManager
 INFO [2021-07-19 17:50:35,828] ({pool-2-thread-1} RemoteInterpreterServer.java[init]:229) - Creating RemoteInterpreterEventClient with connection pool size: 10
 INFO [2021-07-19 17:50:35,921] ({pool-2-thread-1} RemoteInterpreterServer.java[createInterpreter]:383) - Instantiate interpreter org.apache.zeppelin.angular.AngularInterpreter
 INFO [2021-07-19 17:50:35,925] ({pool-2-thread-1} RemoteInterpreterServer.java[createInterpreter]:383) - Instantiate interpreter org.apache.zeppelin.angular.AngularInterpreter
 INFO [2021-07-19 17:50:35,965] ({pool-2-thread-1} SchedulerFactory.java[<init>]:56) - Scheduler Thread Pool Size: 100
 INFO [2021-07-19 17:50:35,967] ({pool-2-thread-1} SchedulerFactory.java[createOrGetFIFOScheduler]:76) - Create FIFOScheduler: org.apache.zeppelin.angular.AngularInterpreter2087135622
 INFO [2021-07-19 17:50:35,971] ({pool-2-thread-2} SchedulerFactory.java[createOrGetFIFOScheduler]:76) - Create FIFOScheduler: org.apache.zeppelin.angular.AngularInterpreter1153863678
 INFO [2021-07-19 17:50:35,974] ({FIFOScheduler-org.apache.zeppelin.angular.AngularInterpreter2087135622-Worker-1} AbstractScheduler.java[runJob]:127) - Job paragraph_1626716903602_914397368 started by scheduler org.apache.zeppelin.angular.AngularInterpreter2087135622
 INFO [2021-07-19 17:50:35,990] ({FIFOScheduler-org.apache.zeppelin.angular.AngularInterpreter2087135622-Worker-1} AbstractScheduler.java[runJob]:154) - Job paragraph_1626716903602_914397368 finished by scheduler org.apache.zeppelin.angular.AngularInterpreter2087135622 with status FINISHED
 INFO [2021-07-19 17:50:47,908] ({FIFOScheduler-org.apache.zeppelin.angular.AngularInterpreter2087135622-Worker-1} AbstractScheduler.java[runJob]:127) - Job paragraph_1626716903602_914397368 started by scheduler org.apache.zeppelin.angular.AngularInterpreter2087135622
 INFO [2021-07-19 17:50:47,910] ({FIFOScheduler-org.apache.zeppelin.angular.AngularInterpreter2087135622-Worker-1} AbstractScheduler.java[runJob]:154) - Job paragraph_1626716903602_914397368 finished by scheduler org.apache.zeppelin.angular.AngularInterpreter2087135622 with status FINISHED
 INFO [2021-07-19 17:50:54,467] ({FIFOScheduler-org.apache.zeppelin.angular.AngularInterpreter2087135622-Worker-1} AbstractScheduler.java[runJob]:127) - Job paragraph_1626716903602_914397368 started by scheduler org.apache.zeppelin.angular.AngularInterpreter2087135622
 INFO [2021-07-19 17:50:54,469] ({FIFOScheduler-org.apache.zeppelin.angular.AngularInterpreter2087135622-Worker-1} AbstractScheduler.java[runJob]:154) - Job paragraph_1626716903602_914397368 finished by scheduler org.apache.zeppelin.angular.AngularInterpreter2087135622 with status FINISHED
 INFO [2021-07-19 17:51:02,537] ({FIFOScheduler-org.apache.zeppelin.angular.AngularInterpreter2087135622-Worker-1} AbstractScheduler.java[runJob]:127) - Job paragraph_1626716903602_914397368 started by scheduler org.apache.zeppelin.angular.AngularInterpreter2087135622
 INFO [2021-07-19 17:51:02,542] ({FIFOScheduler-org.apache.zeppelin.angular.AngularInterpreter2087135622-Worker-1} AbstractScheduler.java[runJob]:154) - Job paragraph_1626716903602_914397368 finished by scheduler org.apache.zeppelin.angular.AngularInterpreter2087135622 with status FINISHED
 INFO [2021-07-19 17:51:43,619] ({FIFOScheduler-org.apache.zeppelin.angular.AngularInterpreter2087135622-Worker-1} AbstractScheduler.java[runJob]:127) - Job paragraph_1626716903602_914397368 started by scheduler org.apache.zeppelin.angular.AngularInterpreter2087135622
 INFO [2021-07-19 17:51:43,622] ({FIFOScheduler-org.apache.zeppelin.angular.AngularInterpreter2087135622-Worker-1} AbstractScheduler.java[runJob]:154) - Job paragraph_1626716903602_914397368 finished by scheduler org.apache.zeppelin.angular.AngularInterpreter2087135622 with status FINISHED
 INFO [2021-07-19 17:51:45,857] ({FIFOScheduler-org.apache.zeppelin.angular.AngularInterpreter2087135622-Worker-1} AbstractScheduler.java[runJob]:127) - Job paragraph_1626716903602_914397368 started by scheduler org.apache.zeppelin.angular.AngularInterpreter2087135622
 INFO [2021-07-19 17:51:45,859] ({FIFOScheduler-org.apache.zeppelin.angular.AngularInterpreter2087135622-Worker-1} AbstractScheduler.java[runJob]:154) - Job paragraph_1626716903602_914397368 finished by scheduler org.apache.zeppelin.angular.AngularInterpreter2087135622 with status FINISHED
